codepoint,value,subnormal
0x0242,0x1p+66, 
0x0243,0x1p+67, 
0x0244,0x1p+68, 
0x0245,0x1p+69, 
0x0246,0x1p+70, 
0x0247,0x1p+71, 
0x0248,0x1p+72, 
0x0249,0x1p+73, 
0x024a,0x1p+74, 
0x024b,0x1p+75, 
0x024c,0x1p+76, 
0x024d,0x1p+77, 
0x024e,0x1p+78, 
0x024f,0x1p+79, 
0x0250,0x1p+80, 
0x0251,0x1p+81, 
0x0252,0x1p+82, 
0x0253,0x1p+83, 
0x0254,0x1p+84, 
0x0255,0x1p+85, 
0x0256,0x1p+86, 
0x0257,0x1p+87, 
0x0258,0x1p+88, 
0x0259,0x1p+89, 
0x025a,0x1p+90, 
0x025b,0x1p+91, 
0x025c,0x1p+92, 
0x025d,0x1p+93, 
0x025e,0x1p+94, 
0x025f,0x1p+95, 
0x0260,0x1p+96, 
0x0261,0x1p+97, 
0x0262,0x1p+98, 
0x0263,0x1p+99, 
0x0264,0x1p+100, 
0x0265,0x1p+101, 
0x0266,0x1p+102, 
0x0267,0x1p+103, 
0x0268,0x1p+104, 
0x0269,0x1p+105, 
0x026a,0x1p+106, 
0x026b,0x1p+107, 
0x026c,0x1p+108, 
0x026d,0x1p+109, 
0x026e,0x1p+110, 
0x026f,0x1p+111, 
0x0270,0x1p+112, 
0x0271,0x1p+113, 
0x0272,0x1p+114, 
0x0273,0x1p+115, 
0x0274,0x1p+116, 
0x0275,0x1p+117, 
0x0276,0x1p+118, 
0x0277,0x1p+119, 
0x0278,0x1p+120, 
0x0279,0x1p+121, 
0x027a,0x1p+122, 
0x027b,0x1p+123, 
0x027c,0x1p+124, 
0x027d,0x1p+125, 
0x027e,0x1p+126, 
0x027f,0x1p+127, 
0x0280,0x1p+128, 
0x0281,0x1p+129, 
0x0282,0x1p+130, 
0x0283,0x1p+131, 
0x0284,0x1p+132, 
0x0285,0x1p+133, 
0x0286,0x1p+134, 
0x0287,0x1p+135, 
0x0288,0x1p+136, 
0x0289,0x1p+137, 
0x028a,0x1p+138, 
0x028b,0x1p+139, 
0x028c,0x1p+140, 
0x028d,0x1p+141, 
0x028e,0x1p+142, 
0x028f,0x1p+143, 
0x0290,0x1p+144, 
0x0291,0x1p+145, 
0x0292,0x1p+146, 
0x0293,0x1p+147, 
0x0294,0x1p+148, 
0x0295,0x1p+149, 
0x0296,0x1p+150, 
0x0297,0x1p+151, 
0x0298,0x1p+152, 
0x0299,0x1p+153, 
0x029a,0x1p+154, 
0x029b,0x1p+155, 
0x029c,0x1p+156, 
0x029d,0x1p+157, 
0x029e,0x1p+158, 
0x029f,0x1p+159, 
0x02a0,0x1p+160, 
0x02a1,0x1p+161, 
0x02a2,0x1p+162, 
0x02a3,0x1p+163, 
0x02a4,0x1p+164, 
0x02a5,0x1p+165, 
0x02a6,0x1p+166, 
0x02a7,0x1p+167, 
