codepoint,values,subnormal
0x02e4,0x1p-16199, 
0x02e5,0x1.4p-16199, 
0x02e6,0x1.8p-16199, 
0x02e7,0x1.cp-16199, 
0x02e8,0x1p-16198, 
0x02e9,0x1.4p-16198, 
0x02ea,0x1.8p-16198, 
0x02eb,0x1.cp-16198, 
0x02ec,0x1p-16197, 
0x02ed,0x1.4p-16197, 
0x02ee,0x1.8p-16197, 
0x02ef,0x1.cp-16197, 
0x02f0,0x1p-16196, 
0x02f1,0x1.4p-16196, 
0x02f2,0x1.8p-16196, 
0x02f3,0x1.cp-16196, 
0x02f4,0x1p-16195, 
0x02f5,0x1.4p-16195, 
0x02f6,0x1.8p-16195, 
0x02f7,0x1.cp-16195, 
0x02f8,0x1p-16194, 
0x02f9,0x1.4p-16194, 
0x02fa,0x1.8p-16194, 
0x02fb,0x1.cp-16194, 
0x02fc,0x1p-16193, 
0x02fd,0x1.4p-16193, 
0x02fe,0x1.8p-16193, 
0x02ff,0x1.cp-16193, 
0x0300,0x1p-16192, 
0x0301,0x1.4p-16192, 
0x0302,0x1.8p-16192, 
0x0303,0x1.cp-16192, 
0x0304,0x1p-16191, 
0x0305,0x1.4p-16191, 
0x0306,0x1.8p-16191, 
0x0307,0x1.cp-16191, 
0x0308,0x1p-16190, 
0x0309,0x1.4p-16190, 
0x030a,0x1.8p-16190, 
0x030b,0x1.cp-16190, 
0x030c,0x1p-16189, 
0x030d,0x1.4p-16189, 
0x030e,0x1.8p-16189, 
0x030f,0x1.cp-16189, 
0x0310,0x1p-16188, 
0x0311,0x1.4p-16188, 
0x0312,0x1.8p-16188, 
0x0313,0x1.cp-16188, 
0x0314,0x1p-16187, 
0x0315,0x1.4p-16187, 
0x0316,0x1.8p-16187, 
0x0317,0x1.cp-16187, 
0x0318,0x1p-16186, 
0x0319,0x1.4p-16186, 
0x031a,0x1.8p-16186, 
0x031b,0x1.cp-16186, 
0x031c,0x1p-16185, 
0x031d,0x1.4p-16185, 
0x031e,0x1.8p-16185, 
0x031f,0x1.cp-16185, 
0x0320,0x1p-16184, 
0x0321,0x1.4p-16184, 
0x0322,0x1.8p-16184, 
0x0323,0x1.cp-16184, 
0x0324,0x1p-16183, 
0x0325,0x1.4p-16183, 
0x0326,0x1.8p-16183, 
0x0327,0x1.cp-16183, 
0x0328,0x1p-16182, 
0x0329,0x1.4p-16182, 
0x032a,0x1.8p-16182, 
0x032b,0x1.cp-16182, 
0x032c,0x1p-16181, 
0x032d,0x1.4p-16181, 
0x032e,0x1.8p-16181, 
0x032f,0x1.cp-16181, 
0x0330,0x1p-16180, 
0x0331,0x1.4p-16180, 
0x0332,0x1.8p-16180, 
0x0333,0x1.cp-16180, 
0x0334,0x1p-16179, 
0x0335,0x1.4p-16179, 
0x0336,0x1.8p-16179, 
0x0337,0x1.cp-16179, 
0x0338,0x1p-16178, 
0x0339,0x1.4p-16178, 
0x033a,0x1.8p-16178, 
0x033b,0x1.cp-16178, 
