codepoint,values,subnormal
0x01da,0x0.1dap-4,*
0x01db,0x0.1dbp-4,*
0x01dc,0x0.1dcp-4,*
0x01dd,0x0.1ddp-4,*
0x01de,0x0.1dep-4,*
0x01df,0x0.1dfp-4,*
0x01e0,0x0.1ep-4,*
0x01e1,0x0.1e1p-4,*
0x01e2,0x0.1e2p-4,*
0x01e3,0x0.1e3p-4,*
0x01e4,0x0.1e4p-4,*
0x01e5,0x0.1e5p-4,*
0x01e6,0x0.1e6p-4,*
0x01e7,0x0.1e7p-4,*
0x01e8,0x0.1e8p-4,*
0x01e9,0x0.1e9p-4,*
0x01ea,0x0.1eap-4,*
0x01eb,0x0.1ebp-4,*
0x01ec,0x0.1ecp-4,*
0x01ed,0x0.1edp-4,*
0x01ee,0x0.1eep-4,*
0x01ef,0x0.1efp-4,*
0x01f0,0x0.1fp-4,*
0x01f1,0x0.1f1p-4,*
0x01f2,0x0.1f2p-4,*
0x01f3,0x0.1f3p-4,*
0x01f4,0x0.1f4p-4,*
0x01f5,0x0.1f5p-4,*
0x01f6,0x0.1f6p-4,*
0x01f7,0x0.1f7p-4,*
0x01f8,0x0.1f8p-4,*
0x01f9,0x0.1f9p-4,*
0x01fa,0x0.1fap-4,*
0x01fb,0x0.1fbp-4,*
0x01fc,0x0.1fcp-4,*
0x01fd,0x0.1fdp-4,*
0x01fe,0x0.1fep-4,*
0x01ff,0x0.1ffp-4,*
0x0200,0x0.2p-4,*
0x0201,0x0.201p-4,*
0x0202,0x0.202p-4,*
0x0203,0x0.203p-4,*
0x0204,0x0.204p-4,*
0x0205,0x0.205p-4,*
0x0206,0x0.206p-4,*
0x0207,0x0.207p-4,*
0x0208,0x0.208p-4,*
0x0209,0x0.209p-4,*
0x020a,0x0.20ap-4,*
0x020b,0x0.20bp-4,*
0x020c,0x0.20cp-4,*
0x020d,0x0.20dp-4,*
0x020e,0x0.20ep-4,*
0x020f,0x0.20fp-4,*
0x0210,0x0.21p-4,*
0x0211,0x0.211p-4,*
0x0212,0x0.212p-4,*
0x0213,0x0.213p-4,*
0x0214,0x0.214p-4,*
0x0215,0x0.215p-4,*
0x0216,0x0.216p-4,*
0x0217,0x0.217p-4,*
0x0218,0x0.218p-4,*
0x0219,0x0.219p-4,*
0x021a,0x0.21ap-4,*
0x021b,0x0.21bp-4,*
0x021c,0x0.21cp-4,*
0x021d,0x0.21dp-4,*
0x021e,0x0.21ep-4,*
0x021f,0x0.21fp-4,*
0x0220,0x0.22p-4,*
0x0221,0x0.221p-4,*
0x0222,0x0.222p-4,*
0x0223,0x0.223p-4,*
0x0224,0x0.224p-4,*
0x0225,0x0.225p-4,*
0x0226,0x0.226p-4,*
0x0227,0x0.227p-4,*
0x0228,0x0.228p-4,*
0x0229,0x0.229p-4,*
0x022a,0x0.22ap-4,*
0x022b,0x0.22bp-4,*
0x022c,0x0.22cp-4,*
0x022d,0x0.22dp-4,*
0x022e,0x0.22ep-4,*
0x022f,0x0.22fp-4,*
0x0230,0x0.23p-4,*
0x0231,0x0.231p-4,*
0x0232,0x0.232p-4,*
0x0233,0x0.233p-4,*
