codepoint,value,subnormal
0x02bf,0x1.bfp-254, 
0x02c0,0x1.cp-254, 
0x02c1,0x1.c1p-254, 
0x02c2,0x1.c2p-254, 
0x02c3,0x1.c3p-254, 
0x02c4,0x1.c4p-254, 
0x02c5,0x1.c5p-254, 
0x02c6,0x1.c6p-254, 
0x02c7,0x1.c7p-254, 
0x02c8,0x1.c8p-254, 
0x02c9,0x1.c9p-254, 
0x02ca,0x1.cap-254, 
0x02cb,0x1.cbp-254, 
0x02cc,0x1.ccp-254, 
0x02cd,0x1.cdp-254, 
0x02ce,0x1.cep-254, 
0x02cf,0x1.cfp-254, 
0x02d0,0x1.dp-254, 
0x02d1,0x1.d1p-254, 
0x02d2,0x1.d2p-254, 
0x02d3,0x1.d3p-254, 
0x02d4,0x1.d4p-254, 
0x02d5,0x1.d5p-254, 
0x02d6,0x1.d6p-254, 
0x02d7,0x1.d7p-254, 
0x02d8,0x1.d8p-254, 
0x02d9,0x1.d9p-254, 
0x02da,0x1.dap-254, 
0x02db,0x1.dbp-254, 
0x02dc,0x1.dcp-254, 
0x02dd,0x1.ddp-254, 
0x02de,0x1.dep-254, 
0x02df,0x1.dfp-254, 
0x02e0,0x1.ep-254, 
0x02e1,0x1.e1p-254, 
0x02e2,0x1.e2p-254, 
0x02e3,0x1.e3p-254, 
0x02e4,0x1.e4p-254, 
0x02e5,0x1.e5p-254, 
0x02e6,0x1.e6p-254, 
0x02e7,0x1.e7p-254, 
0x02e8,0x1.e8p-254, 
0x02e9,0x1.e9p-254, 
0x02ea,0x1.eap-254, 
0x02eb,0x1.ebp-254, 
0x02ec,0x1.ecp-254, 
0x02ed,0x1.edp-254, 
0x02ee,0x1.eep-254, 
0x02ef,0x1.efp-254, 
0x02f0,0x1.fp-254, 
0x02f1,0x1.f1p-254, 
0x02f2,0x1.f2p-254, 
0x02f3,0x1.f3p-254, 
0x02f4,0x1.f4p-254, 
0x02f5,0x1.f5p-254, 
0x02f6,0x1.f6p-254, 
0x02f7,0x1.f7p-254, 
0x02f8,0x1.f8p-254, 
0x02f9,0x1.f9p-254, 
0x02fa,0x1.fap-254, 
0x02fb,0x1.fbp-254, 
0x02fc,0x1.fcp-254, 
0x02fd,0x1.fdp-254, 
0x02fe,0x1.fep-254, 
0x02ff,0x1.ffp-254, 
0x0300,0x1p-253, 
0x0301,0x1.01p-253, 
0x0302,0x1.02p-253, 
0x0303,0x1.03p-253, 
0x0304,0x1.04p-253, 
0x0305,0x1.05p-253, 
0x0306,0x1.06p-253, 
0x0307,0x1.07p-253, 
0x0308,0x1.08p-253, 
0x0309,0x1.09p-253, 
0x030a,0x1.0ap-253, 
0x030b,0x1.0bp-253, 
0x030c,0x1.0cp-253, 
0x030d,0x1.0dp-253, 
0x030e,0x1.0ep-253, 
0x030f,0x1.0fp-253, 
