codepoint,values,subnormal
0x019b,0x0.336p-8,*
0x019c,0x0.338p-8,*
0x019d,0x0.33ap-8,*
0x019e,0x0.33cp-8,*
0x019f,0x0.33ep-8,*
0x01a0,0x0.34p-8,*
0x01a1,0x0.342p-8,*
0x01a2,0x0.344p-8,*
0x01a3,0x0.346p-8,*
0x01a4,0x0.348p-8,*
0x01a5,0x0.34ap-8,*
0x01a6,0x0.34cp-8,*
0x01a7,0x0.34ep-8,*
0x01a8,0x0.35p-8,*
0x01a9,0x0.352p-8,*
0x01aa,0x0.354p-8,*
0x01ab,0x0.356p-8,*
0x01ac,0x0.358p-8,*
0x01ad,0x0.35ap-8,*
0x01ae,0x0.35cp-8,*
0x01af,0x0.35ep-8,*
0x01b0,0x0.36p-8,*
0x01b1,0x0.362p-8,*
0x01b2,0x0.364p-8,*
0x01b3,0x0.366p-8,*
0x01b4,0x0.368p-8,*
0x01b5,0x0.36ap-8,*
0x01b6,0x0.36cp-8,*
0x01b7,0x0.36ep-8,*
0x01b8,0x0.37p-8,*
0x01b9,0x0.372p-8,*
0x01ba,0x0.374p-8,*
0x01bb,0x0.376p-8,*
0x01bc,0x0.378p-8,*
0x01bd,0x0.37ap-8,*
0x01be,0x0.37cp-8,*
0x01bf,0x0.37ep-8,*
0x01c0,0x0.38p-8,*
0x01c1,0x0.382p-8,*
0x01c2,0x0.384p-8,*
0x01c3,0x0.386p-8,*
0x01c4,0x0.388p-8,*
0x01c5,0x0.38ap-8,*
0x01c6,0x0.38cp-8,*
0x01c7,0x0.38ep-8,*
0x01c8,0x0.39p-8,*
0x01c9,0x0.392p-8,*
0x01ca,0x0.394p-8,*
0x01cb,0x0.396p-8,*
0x01cc,0x0.398p-8,*
0x01cd,0x0.39ap-8,*
0x01ce,0x0.39cp-8,*
0x01cf,0x0.39ep-8,*
0x01d0,0x0.3ap-8,*
0x01d1,0x0.3a2p-8,*
0x01d2,0x0.3a4p-8,*
0x01d3,0x0.3a6p-8,*
0x01d4,0x0.3a8p-8,*
0x01d5,0x0.3aap-8,*
0x01d6,0x0.3acp-8,*
0x01d7,0x0.3aep-8,*
0x01d8,0x0.3bp-8,*
0x01d9,0x0.3b2p-8,*
0x01da,0x0.3b4p-8,*
0x01db,0x0.3b6p-8,*
0x01dc,0x0.3b8p-8,*
0x01dd,0x0.3bap-8,*
0x01de,0x0.3bcp-8,*
0x01df,0x0.3bep-8,*
0x01e0,0x0.3cp-8,*
0x01e1,0x0.3c2p-8,*
0x01e2,0x0.3c4p-8,*
0x01e3,0x0.3c6p-8,*
0x01e4,0x0.3c8p-8,*
0x01e5,0x0.3cap-8,*
0x01e6,0x0.3ccp-8,*
0x01e7,0x0.3cep-8,*
0x01e8,0x0.3dp-8,*
0x01e9,0x0.3d2p-8,*
0x01ea,0x0.3d4p-8,*
0x01eb,0x0.3d6p-8,*
0x01ec,0x0.3d8p-8,*
0x01ed,0x0.3dap-8,*
0x01ee,0x0.3dcp-8,*
0x01ef,0x0.3dep-8,*
0x01f0,0x0.3ep-8,*
0x01f1,0x0.3e2p-8,*
0x01f2,0x0.3e4p-8,*
0x01f3,0x0.3e6p-8,*
0x01f4,0x0.3e8p-8,*
0x01f5,0x0.3eap-8,*
0x01f6,0x0.3ecp-8,*
0x01f7,0x0.3eep-8,*
0x01f8,0x0.3fp-8,*
0x01f9,0x0.3f2p-8,*
0x01fa,0x0.3f4p-8,*
0x01fb,0x0.3f6p-8,*
0x01fc,0x0.3f8p-8,*
0x01fd,0x0.3fap-8,*
0x01fe,0x0.3fcp-8,*
0x01ff,0x0.3fep-8,*
0x0200,0x0.4p-8,*
0x0201,0x0.402p-8,*
0x0202,0x0.404p-8,*
0x0203,0x0.406p-8,*
0x0204,0x0.408p-8,*
0x0205,0x0.40ap-8,*
0x0206,0x0.40cp-8,*
0x0207,0x0.40ep-8,*
0x0208,0x0.41p-8,*
0x0209,0x0.412p-8,*
0x020a,0x0.414p-8,*
0x020b,0x0.416p-8,*
0x020c,0x0.418p-8,*
0x020d,0x0.41ap-8,*
0x020e,0x0.41cp-8,*
0x020f,0x0.41ep-8,*
0x0210,0x0.42p-8,*
0x0211,0x0.422p-8,*
0x0212,0x0.424p-8,*
0x0213,0x0.426p-8,*
0x0214,0x0.428p-8,*
0x0215,0x0.42ap-8,*
0x0216,0x0.42cp-8,*
0x0217,0x0.42ep-8,*
0x0218,0x0.43p-8,*
0x0219,0x0.432p-8,*
0x021a,0x0.434p-8,*
0x021b,0x0.436p-8,*
0x021c,0x0.438p-8,*
0x021d,0x0.43ap-8,*
0x021e,0x0.43cp-8,*
0x021f,0x0.43ep-8,*
0x0220,0x0.44p-8,*
0x0221,0x0.442p-8,*
0x0222,0x0.444p-8,*
0x0223,0x0.446p-8,*
0x0224,0x0.448p-8,*
0x0225,0x0.44ap-8,*
0x0226,0x0.44cp-8,*
0x0227,0x0.44ep-8,*
0x0228,0x0.45p-8,*
0x0229,0x0.452p-8,*
0x022a,0x0.454p-8,*
0x022b,0x0.456p-8,*
0x022c,0x0.458p-8,*
0x022d,0x0.45ap-8,*
0x022e,0x0.45cp-8,*
0x022f,0x0.45ep-8,*
0x0230,0x0.46p-8,*
0x0231,0x0.462p-8,*
0x0232,0x0.464p-8,*
0x0233,0x0.466p-8,*
0x0234,0x0.468p-8,*
0x0235,0x0.46ap-8,*
0x0236,0x0.46cp-8,*
0x0237,0x0.46ep-8,*
0x0238,0x0.47p-8,*
0x0239,0x0.472p-8,*
0x023a,0x0.474p-8,*
0x023b,0x0.476p-8,*
0x023c,0x0.478p-8,*
0x023d,0x0.47ap-8,*
0x023e,0x0.47cp-8,*
0x023f,0x0.47ep-8,*
0x0240,0x0.48p-8,*
0x0241,0x0.482p-8,*
0x0242,0x0.484p-8,*
0x0243,0x0.486p-8,*
0x0244,0x0.488p-8,*
0x0245,0x0.48ap-8,*
0x0246,0x0.48cp-8,*
0x0247,0x0.48ep-8,*
